studyid,workflowid,groupid,n,numerator,denominator,metric,score,flag
AA-AA-000-0000,kri0002,X211X,1,0,531,0,-0.27202335,0
AA-AA-000-0000,kri0002,X215X,1,0,513,0,-0.267367025,0
AA-AA-000-0000,kri0002,X047X,1,0,196,0,-0.165159976,0
AA-AA-000-0000,kri0002,X188X,1,0,84,0,-0.108062883,0
AA-AA-000-0000,kri0002,X039X,1,0,49,0,-0.082505397,0
AA-AA-000-0000,kri0002,X108X,1,0,45,0,-0.079061758,0
AA-AA-000-0000,kri0002,X127X,1,0,4,0,-0.023534501,0
AA-AA-000-0000,kri0003,X039X,1,10,49,0.204081633,6.796999849,1
AA-AA-000-0000,kri0003,X047X,1,10,196,0.051020408,5.250800579,1
AA-AA-000-0000,kri0003,X100X,6,36,3457,0.010413653,7.19369612,1
AA-AA-000-0000,kri0003,X132X,3,28,2934,0.009543286,5.879685424,1
AA-AA-000-0000,kri0003,X117X,4,32,4237,0.007552514,5.782986712,1
AA-AA-000-0000,kri0003,X180X,10,98,19636,0.004990833,10.23816137,1
AA-AA-000-0000,kri0003,X179X,4,55,11711,0.004696439,6.586156682,1
AA-AA-000-0000,kri0003,X094X,5,44,9889,0.004449388,5.392738777,1
AA-AA-000-0000,kri0003,X033X,15,111,26139,0.004246528,10.30151646,1
AA-AA-000-0000,kri0003,X154X,7,74,19303,0.003833601,7.245197362,1
AA-AA-000-0000,kri0003,X009X,6,54,14658,0.003683995,5.53976461,1
AA-AA-000-0000,kri0003,X050X,27,223,64395,0.003463002,15.12097079,1
AA-AA-000-0000,kri0003,X037X,8,52,15141,0.003434383,5.096033184,1
AA-AA-000-0000,kri0003,X102X,69,197,156807,0.001256321,5.910218053,1
AA-AA-000-0000,kri0003,X168X,17,15,37555,0.000399414,-5.180985158,-1
AA-AA-000-0000,kri0003,X140X,25,18,51339,0.000350611,-5.944975473,-1
AA-AA-000-0000,kri0003,X185X,5,4,16341,0.000244783,-5.174597733,-1
AA-AA-000-0000,kri0003,X054X,9,5,22181,0.000225418,-5.769458812,-1
AA-AA-000-0000,kri0003,X129X,12,8,35507,0.000225308,-6.574253968,-1
AA-AA-000-0000,kri0003,X038X,6,3,17889,0.000167701,-5.797694728,-1
AA-AA-000-0000,kri0003,X143X,5,2,12317,0.000162377,-5.19846185,-1
AA-AA-000-0000,kri0003,X088X,3,2,12494,0.000160077,-5.234301312,-1
AA-AA-000-0000,kri0003,X090X,36,10,73564,0.000135936,-9.259779984,-1
AA-AA-000-0000,kri0003,X174X,5,1,10921,9.16E-05,-5.393950211,-1
AA-AA-000-0000,kri0003,X224X,5,1,16217,6.17E-05,-6.376517098,-1
AA-AA-000-0000,kri0003,X235X,9,1,23573,4.24E-05,-7.433124166,-1
AA-AA-000-0000,kri0003,X110X,4,0,16359,0,-7.026241702,-1
AA-AA-000-0000,kri0003,X108X,1,5,45,0.111111111,4.136948476,0
AA-AA-000-0000,kri0003,X127X,1,2,32,0.0625,2.105617589,0
AA-AA-000-0000,kri0003,X188X,1,3,105,0.028571429,2.105720414,0
AA-AA-000-0000,kri0003,X007X,1,6,393,0.015267176,2.562723934,0
AA-AA-000-0000,kri0003,X206X,1,12,890,0.013483146,3.872136693,0
AA-AA-000-0000,kri0003,X216X,1,8,679,0.011782032,2.752054647,0
AA-AA-000-0000,kri0003,X034X,2,10,1202,0.008319468,2.648282596,0
AA-AA-000-0000,kri0003,X096X,1,3,433,0.006928406,0.802853622,0
AA-AA-000-0000,kri0003,X232X,5,13,2119,0.006134969,2.623101771,0
AA-AA-000-0000,kri0003,X030X,1,9,1480,0.006081081,1.923582081,0
AA-AA-000-0000,kri0003,X196X,5,30,5212,0.005755948,4.766585656,0
AA-AA-000-0000,kri0003,X197X,2,19,3362,0.005651398,3.331237086,0
AA-AA-000-0000,kri0003,X157X,2,24,4664,0.005145798,3.737961947,0
AA-AA-000-0000,kri0003,X063X,3,15,3047,0.004922875,2.458280504,0
AA-AA-000-0000,kri0003,X167X,1,11,2360,0.004661017,1.76274068,0
AA-AA-000-0000,kri0003,X227X,3,18,4139,0.004348877,2.563855585,0
AA-AA-000-0000,kri0003,X113X,1,13,3053,0.004258107,1.862326986,0
AA-AA-000-0000,kri0003,X164X,5,31,7709,0.004021274,3.794328861,0
AA-AA-000-0000,kri0003,X194X,3,28,7239,0.003867938,3.368508345,0
AA-AA-000-0000,kri0003,X099X,4,12,3150,0.003809524,1.487790251,0
AA-AA-000-0000,kri0003,X145X,3,26,7111,0.003656307,2.993685185,0
AA-AA-000-0000,kri0003,X136X,4,32,9215,0.003472599,3.4194308,0
AA-AA-000-0000,kri0003,X160X,1,3,911,0.003293085,-0.056112158,0
AA-AA-000-0000,kri0003,X044X,4,21,7100,0.002957746,1.871431458,0
AA-AA-000-0000,kri0003,X078X,3,17,5859,0.002901519,1.418394285,0
AA-AA-000-0000,kri0003,X016X,5,34,11830,0.002874049,2.95345109,0
AA-AA-000-0000,kri0003,X123X,3,12,4331,0.002770723,0.779412497,0
AA-AA-000-0000,kri0003,X223X,2,12,4447,0.002698448,0.718270019,0
AA-AA-000-0000,kri0003,X230X,9,55,21325,0.002579132,4.111255495,0
AA-AA-000-0000,kri0003,X172X,7,31,12059,0.002570694,2.316311155,0
AA-AA-000-0000,kri0003,X089X,4,11,4304,0.002555762,0.489283751,0
AA-AA-000-0000,kri0003,X070X,4,23,9058,0.002539192,1.603737766,0
AA-AA-000-0000,kri0003,X018X,11,63,25420,0.002478363,4.462668021,0
AA-AA-000-0000,kri0003,X186X,2,14,5680,0.002464789,0.699848237,0
AA-AA-000-0000,kri0003,X165X,8,35,14537,0.002407649,2.394778546,0
AA-AA-000-0000,kri0003,X002X,9,44,18769,0.002344291,2.944261372,0
AA-AA-000-0000,kri0003,X080X,1,11,5021,0.002190799,0.133478969,0
AA-AA-000-0000,kri0003,X159X,8,32,14776,0.002165674,1.783288174,0
AA-AA-000-0000,kri0003,X014X,2,12,5637,0.002128792,0.152572613,0
AA-AA-000-0000,kri0003,X082X,10,53,25066,0.002114418,3.094814268,0
AA-AA-000-0000,kri0003,X008X,1,6,3125,0.00192,-0.572232065,0
AA-AA-000-0000,kri0003,X028X,2,6,3178,0.00188798,-0.604250547,0
AA-AA-000-0000,kri0003,X105X,5,29,15566,0.001863035,1.026381756,0
AA-AA-000-0000,kri0003,X049X,3,5,2730,0.001831502,-0.731111026,0
AA-AA-000-0000,kri0003,X181X,3,6,3369,0.001780944,-0.716413554,0
AA-AA-000-0000,kri0003,X158X,1,4,2261,0.001769129,-0.851959947,0
AA-AA-000-0000,kri0003,X161X,2,15,8686,0.001726917,-0.168459075,0
AA-AA-000-0000,kri0003,X125X,2,10,5812,0.001720578,-0.519562841,0
AA-AA-000-0000,kri0003,X199X,9,39,22812,0.001709627,1.316382834,0
AA-AA-000-0000,kri0003,X202X,4,26,15551,0.001671918,0.443909094,0
AA-AA-000-0000,kri0003,X183X,5,10,6040,0.001655629,-0.612295785,0
AA-AA-000-0000,kri0003,X065X,3,13,8047,0.001615509,-0.484274172,0
AA-AA-000-0000,kri0003,X084X,10,32,19896,0.001608363,0.659635901,0
AA-AA-000-0000,kri0003,X048X,4,16,10078,0.001587617,-0.346776428,0
AA-AA-000-0000,kri0003,X058X,7,24,15549,0.001543508,0.041040989,0
AA-AA-000-0000,kri0003,X152X,5,15,9879,0.001518372,-0.537587746,0
AA-AA-000-0000,kri0003,X029X,7,18,11995,0.001500625,-0.39994787,0
AA-AA-000-0000,kri0003,X150X,3,11,7479,0.001470785,-0.850127768,0
AA-AA-000-0000,kri0003,X075X,2,9,6199,0.001451847,-0.985995776,0
AA-AA-000-0000,kri0003,X121X,3,8,5524,0.001448226,-1.040212918,0
AA-AA-000-0000,kri0003,X236X,17,63,44020,0.001431168,1.726188226,0
AA-AA-000-0000,kri0003,X169X,28,96,68141,0.001408843,3.090259096,0
AA-AA-000-0000,kri0003,X219X,3,8,5706,0.001402033,-1.114717483,0
AA-AA-000-0000,kri0003,X053X,10,23,16428,0.001400049,-0.357784859,0
AA-AA-000-0000,kri0003,X207X,3,10,7191,0.001390627,-1.043942672,0
AA-AA-000-0000,kri0003,X093X,7,15,10864,0.001380707,-0.817744501,0
AA-AA-000-0000,kri0003,X015X,3,15,10956,0.001369113,-0.842920166,0
AA-AA-000-0000,kri0003,X192X,27,75,55007,0.001363463,1.997686496,0
AA-AA-000-0000,kri0003,X116X,2,9,6695,0.001344287,-1.172396983,0
AA-AA-000-0000,kri0003,X228X,1,5,3745,0.001335113,-1.319231747,0
AA-AA-000-0000,kri0003,X032X,4,10,7505,0.001332445,-1.152617934,0
AA-AA-000-0000,kri0003,X010X,28,94,70816,0.001327384,2.630529418,0
AA-AA-000-0000,kri0003,X085X,12,41,30904,0.001326689,0.319436704,0
AA-AA-000-0000,kri0003,X107X,3,9,7098,0.001267963,-1.316399689,0
AA-AA-000-0000,kri0003,X013X,20,56,44653,0.001254115,0.718778798,0
AA-AA-000-0000,kri0003,X226X,9,31,24916,0.00124418,-0.420066327,0
AA-AA-000-0000,kri0003,X131X,7,22,17743,0.001239926,-0.837887215,0
AA-AA-000-0000,kri0003,X201X,23,73,59864,0.001219431,1.267089728,0
AA-AA-000-0000,kri0003,X126X,28,81,67102,0.001207118,1.522118646,0
AA-AA-000-0000,kri0003,X035X,3,10,8311,0.001203225,-1.416816446,0
AA-AA-000-0000,kri0003,X130X,33,95,80178,0.001184864,1.936830918,0
AA-AA-000-0000,kri0003,X086X,33,92,78220,0.00117617,1.777282866,0
AA-AA-000-0000,kri0003,X195X,2,9,7682,0.00117157,-1.514646585,0
AA-AA-000-0000,kri0003,X076X,2,5,4296,0.001163873,-1.589972741,0
AA-AA-000-0000,kri0003,X234X,2,4,3459,0.001156404,-1.592746472,0
AA-AA-000-0000,kri0003,X218X,1,5,4416,0.001132246,-1.645501572,0
AA-AA-000-0000,kri0003,X021X,20,42,37474,0.001120777,-0.420006819,0
AA-AA-000-0000,kri0003,X020X,1,5,4509,0.001108893,-1.687778227,0
AA-AA-000-0000,kri0003,X151X,6,19,17541,0.001083177,-1.433801252,0
AA-AA-000-0000,kri0003,X212X,5,13,12161,0.001068991,-1.66203486,0
AA-AA-000-0000,kri0003,X115X,2,7,6673,0.001049003,-1.815358684,0
AA-AA-000-0000,kri0003,X175X,5,9,8775,0.001025641,-1.857460682,0
AA-AA-000-0000,kri0003,X120X,3,7,6967,0.001004737,-1.917638829,0
AA-AA-000-0000,kri0003,X081X,13,29,29789,0.000973514,-1.519904799,0
AA-AA-000-0000,kri0003,X024X,1,4,4121,0.000970638,-1.922917604,0
AA-AA-000-0000,kri0003,X059X,12,34,35057,0.000969849,-1.378895504,0
AA-AA-000-0000,kri0003,X137X,7,16,16508,0.000969227,-1.899502148,0
AA-AA-000-0000,kri0003,X141X,15,32,34547,0.000926274,-1.646536494,0
AA-AA-000-0000,kri0003,X027X,4,7,7611,0.000919721,-2.131059781,0
AA-AA-000-0000,kri0003,X203X,7,13,14243,0.000912729,-2.146476115,0
AA-AA-000-0000,kri0003,X153X,8,20,22229,0.000899726,-2.075260424,0
AA-AA-000-0000,kri0003,X133X,17,37,41575,0.000889958,-1.689685902,0
AA-AA-000-0000,kri0003,X072X,7,20,22807,0.000876924,-2.171295475,0
AA-AA-000-0000,kri0003,X209X,8,19,22108,0.000859417,-2.264340666,0
AA-AA-000-0000,kri0003,X114X,7,19,22152,0.00085771,-2.271692371,0
AA-AA-000-0000,kri0003,X057X,5,7,8365,0.00083682,-2.364725691,0
AA-AA-000-0000,kri0003,X144X,4,13,15920,0.000816583,-2.499852881,0
AA-AA-000-0000,kri0003,X098X,11,23,28378,0.000810487,-2.425584954,0
AA-AA-000-0000,kri0003,X031X,2,4,5106,0.000783392,-2.348970181,0
AA-AA-000-0000,kri0003,X083X,20,29,38203,0.000759103,-2.609089056,0
AA-AA-000-0000,kri0003,X040X,22,41,55554,0.000738021,-2.532970904,0
AA-AA-000-0000,kri0003,X166X,5,14,19312,0.000724938,-2.898769846,0
AA-AA-000-0000,kri0003,X148X,4,8,11273,0.00070966,-2.834010312,0
AA-AA-000-0000,kri0003,X128X,58,113,163275,0.000692084,-1.43508606,0
AA-AA-000-0000,kri0003,X231X,15,27,39608,0.00068168,-3.118995788,0
AA-AA-000-0000,kri0003,X095X,6,12,18126,0.000662032,-3.172589191,0
AA-AA-000-0000,kri0003,X217X,6,8,12145,0.000658707,-3.041832239,0
AA-AA-000-0000,kri0003,X193X,7,14,21548,0.000649712,-3.279384324,0
AA-AA-000-0000,kri0003,X025X,12,21,33370,0.000629308,-3.477842459,0
AA-AA-000-0000,kri0003,X073X,3,6,9606,0.00062461,-3.048305664,0
AA-AA-000-0000,kri0003,X210X,4,4,6547,0.000610967,-2.875897206,0
AA-AA-000-0000,kri0003,X156X,2,5,8542,0.000585343,-3.106766445,0
AA-AA-000-0000,kri0003,X068X,16,17,30009,0.000566497,-3.852751937,0
AA-AA-000-0000,kri0003,X214X,3,5,9400,0.000531915,-3.341834905,0
AA-AA-000-0000,kri0003,X011X,1,2,3773,0.000530082,-2.714605823,0
AA-AA-000-0000,kri0003,X055X,43,51,101881,0.000500584,-4.660315557,0
AA-AA-000-0000,kri0003,X017X,3,5,11680,0.000428082,-3.89957778,0
AA-AA-000-0000,kri0003,X109X,5,5,12421,0.000402544,-4.063995404,0
AA-AA-000-0000,kri0003,X204X,7,6,16304,0.000368008,-4.50610882,0
AA-AA-000-0000,kri0003,X173X,8,7,19413,0.000360583,-4.739632807,0
AA-AA-000-0000,kri0003,X112X,3,1,3289,0.000304044,-3.079218218,0
AA-AA-000-0000,kri0003,X191X,1,1,3653,0.000273748,-3.248386108,0
AA-AA-000-0000,kri0003,X122X,1,1,3708,0.000269687,-3.272922521,0
AA-AA-000-0000,kri0003,X061X,2,2,7525,0.000265781,-4.054032,0
AA-AA-000-0000,kri0003,X097X,5,3,11997,0.000250063,-4.71144675,0
AA-AA-000-0000,kri0003,X124X,4,1,4801,0.00020829,-3.715737132,0
AA-AA-000-0000,kri0003,X043X,1,1,4916,0.000203417,-3.758142421,0
AA-AA-000-0000,kri0003,X023X,2,1,6418,0.000155812,-4.258464199,0
AA-AA-000-0000,kri0003,X064X,3,1,7523,0.000132926,-4.577534836,0
AA-AA-000-0000,kri0003,X103X,3,0,5476,0,-4.741865261,0
AA-AA-000-0000,kri0003,X119X,1,0,4832,0,-4.53342032,0
AA-AA-000-0000,kri0003,X225X,1,0,4022,0,-4.244192282,0
AA-AA-000-0000,kri0003,X135X,1,0,3023,0,-3.830365219,0
AA-AA-000-0000,kri0003,X222X,1,0,2645,0,-3.650868443,0
AA-AA-000-0000,kri0003,X071X,2,0,1568,0,-3.025561635,0
AA-AA-000-0000,kri0003,X211X,1,0,562,0,-2.092654333,0
AA-AA-000-0000,kri0003,X215X,1,0,513,0,-2.025173919,0
AA-AA-000-0000,kri0003,X036X,1,0,505,0,-2.013769387,0
AA-AA-000-0000,kri0004,X050X,27,48,64395,0.000745399,9.542968279,1
AA-AA-000-0000,kri0004,X127X,1,1,32,0.03125,2.22254458,0
AA-AA-000-0000,kri0004,X036X,1,2,505,0.003960396,2.231640019,0
AA-AA-000-0000,kri0004,X007X,1,1,393,0.002544529,1.275723892,0
AA-AA-000-0000,kri0004,X211X,1,1,562,0.001779359,1.107087449,0
AA-AA-000-0000,kri0004,X100X,6,6,3457,0.001735609,3.441926386,0
AA-AA-000-0000,kri0004,X216X,1,1,679,0.001472754,1.013293051,0
AA-AA-000-0000,kri0004,X117X,4,5,4237,0.00118008,2.683357665,0
AA-AA-000-0000,kri0004,X206X,1,1,890,0.001123596,0.872974008,0
AA-AA-000-0000,kri0004,X094X,5,11,9889,0.001112347,4.342097736,0
AA-AA-000-0000,kri0004,X228X,1,4,3745,0.001068091,2.224567895,0
AA-AA-000-0000,kri0004,X113X,1,3,3053,0.00098264,1.7623135,0
AA-AA-000-0000,kri0004,X232X,5,2,2119,0.000943841,1.298936833,0
AA-AA-000-0000,kri0004,X172X,7,9,12059,0.000746331,3.258194544,0
AA-AA-000-0000,kri0004,X180X,10,14,19636,0.000712976,4.282346195,0
AA-AA-000-0000,kri0004,X223X,2,3,4447,0.000674612,1.421470977,0
AA-AA-000-0000,kri0004,X037X,8,10,15141,0.000660458,3.30510369,0
AA-AA-000-0000,kri0004,X199X,9,14,22812,0.000613712,4.009189804,0
AA-AA-000-0000,kri0004,X197X,2,2,3362,0.000594884,0.940716554,0
AA-AA-000-0000,kri0004,X196X,5,3,5212,0.000575595,1.269689889,0
AA-AA-000-0000,kri0004,X109X,5,7,12421,0.000563562,2.367745445,0
AA-AA-000-0000,kri0004,X191X,1,2,3653,0.000547495,0.872565253,0
AA-AA-000-0000,kri0004,X032X,4,4,7505,0.000532978,1.50102125,0
AA-AA-000-0000,kri0004,X154X,7,10,19303,0.000518054,2.912870311,0
AA-AA-000-0000,kri0004,X183X,5,3,6040,0.000496689,1.1241459,0
AA-AA-000-0000,kri0004,X075X,2,3,6199,0.000483949,1.098022779,0
AA-AA-000-0000,kri0004,X210X,4,3,6547,0.000458225,1.042636396,0
AA-AA-000-0000,kri0004,X131X,7,8,17743,0.000450882,2.268417727,0
AA-AA-000-0000,kri0004,X115X,2,3,6673,0.000449573,1.023152626,0
AA-AA-000-0000,kri0004,X120X,3,3,6967,0.000430601,0.97878818,0
AA-AA-000-0000,kri0004,X179X,4,5,11711,0.000426949,1.5037212,0
AA-AA-000-0000,kri0004,X167X,1,1,2360,0.000423729,0.296505516,0
AA-AA-000-0000,kri0004,X124X,4,2,4801,0.00041658,0.639378065,0
AA-AA-000-0000,kri0004,X080X,1,2,5021,0.000398327,0.599789907,0
AA-AA-000-0000,kri0004,X002X,9,7,18769,0.000372955,1.765947949,0
AA-AA-000-0000,kri0004,X103X,3,2,5476,0.00036523,0.522005221,0
AA-AA-000-0000,kri0004,X014X,2,2,5637,0.000354799,0.495680413,0
AA-AA-000-0000,kri0004,X165X,8,5,14537,0.00034395,1.219832561,0
AA-AA-000-0000,kri0004,X078X,3,2,5859,0.000341355,0.460318449,0
AA-AA-000-0000,kri0004,X016X,5,4,11830,0.000338123,0.968329318,0
AA-AA-000-0000,kri0004,X063X,3,1,3047,0.000328192,0.123612843,0
AA-AA-000-0000,kri0004,X136X,4,3,9215,0.000325556,0.680633031,0
AA-AA-000-0000,kri0004,X099X,4,1,3150,0.00031746,0.10034334,0
AA-AA-000-0000,kri0004,X054X,9,7,22181,0.000315585,1.507297465,0
AA-AA-000-0000,kri0004,X028X,2,1,3178,0.000314663,0.094118055,0
AA-AA-000-0000,kri0004,X185X,5,5,16341,0.000305979,1.060566759,0
AA-AA-000-0000,kri0004,X112X,3,1,3289,0.000304044,0.069842647,0
AA-AA-000-0000,kri0004,X234X,2,1,3459,0.000289101,0.033844626,0
AA-AA-000-0000,kri0004,X145X,3,2,7111,0.000281254,0.278213919,0
AA-AA-000-0000,kri0004,X194X,3,2,7239,0.000276281,0.261022836,0
AA-AA-000-0000,kri0004,X150X,3,2,7479,0.000267415,0.229406856,0
AA-AA-000-0000,kri0004,X164X,5,2,7709,0.000259437,0.199827912,0
AA-AA-000-0000,kri0004,X144X,4,4,15920,0.000251256,0.590959482,0
AA-AA-000-0000,kri0004,X226X,9,6,24916,0.000240809,0.898501122,0
AA-AA-000-0000,kri0004,X082X,10,6,25066,0.000239368,0.889073504,0
AA-AA-000-0000,kri0004,X140X,25,12,51339,0.00023374,1.769844687,0
AA-AA-000-0000,kri0004,X157X,2,1,4664,0.000214408,-0.188973224,0
AA-AA-000-0000,kri0004,X214X,3,2,9400,0.000212766,0.000797736,0
AA-AA-000-0000,kri0004,X119X,1,1,4832,0.000206954,-0.216459444,0
AA-AA-000-0000,kri0004,X236X,17,9,44020,0.000204453,1.07874369,0
AA-AA-000-0000,kri0004,X043X,1,1,4916,0.000203417,-0.229934686,0
AA-AA-000-0000,kri0004,X059X,12,7,35057,0.000199675,0.747888949,0
AA-AA-000-0000,kri0004,X048X,4,2,10078,0.000198452,-0.071384044,0
AA-AA-000-0000,kri0004,X018X,11,5,25420,0.000196696,0.419791773,0
AA-AA-000-0000,kri0004,X058X,7,3,15549,0.000192938,0.06922071,0
AA-AA-000-0000,kri0004,X202X,4,3,15551,0.000192914,0.069060943,0
AA-AA-000-0000,kri0004,X110X,4,3,16359,0.000183385,0.005753289,0
AA-AA-000-0000,kri0004,X015X,3,2,10956,0.000182548,-0.159595363,0
AA-AA-000-0000,kri0004,X121X,3,1,5524,0.000181028,-0.322660111,0
AA-AA-000-0000,kri0004,X231X,15,7,39608,0.000176732,0.531714945,0
AA-AA-000-0000,kri0004,X055X,43,18,101881,0.000176677,1.833703728,0
AA-AA-000-0000,kri0004,X151X,6,3,17541,0.000171028,-0.082719859,0
AA-AA-000-0000,kri0004,X029X,7,2,11995,0.000166736,-0.257351418,0
AA-AA-000-0000,kri0004,X212X,5,2,12161,0.00016446,-0.272374085,0
AA-AA-000-0000,kri0004,X010X,28,11,70816,0.000155332,0.758016726,0
AA-AA-000-0000,kri0004,X126X,28,10,67102,0.000149027,0.556933023,0
AA-AA-000-0000,kri0004,X169X,28,10,68141,0.000146755,0.523599573,0
AA-AA-000-0000,kri0004,X107X,3,1,7098,0.000140885,-0.53164094,0
AA-AA-000-0000,kri0004,X207X,3,1,7191,0.000139063,-0.542866994,0
AA-AA-000-0000,kri0004,X009X,6,2,14658,0.000136444,-0.481726856,0
AA-AA-000-0000,kri0004,X061X,2,1,7525,0.00013289,-0.58232181,0
AA-AA-000-0000,kri0004,X072X,7,3,22807,0.000131539,-0.429605619,0
AA-AA-000-0000,kri0004,X105X,5,2,15566,0.000128485,-0.551242458,0
AA-AA-000-0000,kri0004,X086X,33,10,78220,0.000127845,0.218848068,0
AA-AA-000-0000,kri0004,X057X,5,1,8365,0.000119546,-0.676143247,0
AA-AA-000-0000,kri0004,X102X,69,17,156807,0.000108414,0.386182428,0
AA-AA-000-0000,kri0004,X084X,10,2,19896,0.000100523,-0.846594026,0
AA-AA-000-0000,kri0004,X068X,16,3,30009,1.00E-04,-0.817602791,0
AA-AA-000-0000,kri0004,X085X,12,3,30904,9.71E-05,-0.860800272,0
AA-AA-000-0000,kri0004,X230X,9,2,21325,9.38E-05,-0.933565479,0
AA-AA-000-0000,kri0004,X093X,7,1,10864,9.20E-05,-0.919600912,0
AA-AA-000-0000,kri0004,X174X,5,1,10921,9.16E-05,-0.924652917,0
AA-AA-000-0000,kri0004,X025X,12,3,33370,8.99E-05,-0.975221133,0
AA-AA-000-0000,kri0004,X217X,6,1,12145,8.23E-05,-1.028792409,0
AA-AA-000-0000,kri0004,X143X,5,1,12317,8.12E-05,-1.042808232,0
AA-AA-000-0000,kri0004,X088X,3,1,12494,8.00E-05,-1.057084424,0
AA-AA-000-0000,kri0004,X033X,15,2,26139,7.65E-05,-1.198286604,0
AA-AA-000-0000,kri0004,X130X,33,6,80178,7.48E-05,-1.216702255,0
AA-AA-000-0000,kri0004,X133X,17,3,41575,7.22E-05,-1.31599506,0
AA-AA-000-0000,kri0004,X040X,22,4,55554,7.20E-05,-1.327062887,0
AA-AA-000-0000,kri0004,X013X,20,3,44653,6.72E-05,-1.431085869,0
AA-AA-000-0000,kri0004,X224X,5,1,16217,6.17E-05,-1.328312674,0
AA-AA-000-0000,kri0004,X053X,10,1,16428,6.09E-05,-1.342280994,0
AA-AA-000-0000,kri0004,X129X,12,2,35507,5.63E-05,-1.625323858,0
AA-AA-000-0000,kri0004,X095X,6,1,18126,5.52E-05,-1.450263422,0
AA-AA-000-0000,kri0004,X192X,27,3,55007,5.45E-05,-1.780200284,0
AA-AA-000-0000,kri0004,X021X,20,2,37474,5.34E-05,-1.704317525,0
AA-AA-000-0000,kri0004,X083X,20,2,38203,5.24E-05,-1.73283564,0
AA-AA-000-0000,kri0004,X166X,5,1,19312,5.18E-05,-1.521469822,0
AA-AA-000-0000,kri0004,X201X,23,3,59864,5.01E-05,-1.927664064,0
AA-AA-000-0000,kri0004,X114X,7,1,22152,4.51E-05,-1.680147834,0
AA-AA-000-0000,kri0004,X153X,8,1,22229,4.50E-05,-1.684243428,0
AA-AA-000-0000,kri0004,X128X,58,7,163275,4.29E-05,-2.5168039,0
AA-AA-000-0000,kri0004,X090X,36,3,73564,4.08E-05,-2.301740265,0
AA-AA-000-0000,kri0004,X098X,11,1,28378,3.52E-05,-1.983214072,0
AA-AA-000-0000,kri0004,X081X,13,1,29789,3.36E-05,-2.045231087,0
AA-AA-000-0000,kri0004,X141X,15,1,34547,2.89E-05,-2.240275607,0
AA-AA-000-0000,kri0004,X168X,17,0,37555,0,-3.307591343,0
AA-AA-000-0000,kri0004,X235X,9,0,23573,0,-2.792618063,0
AA-AA-000-0000,kri0004,X209X,8,0,22108,0,-2.728255481,0
AA-AA-000-0000,kri0004,X193X,7,0,21548,0,-2.702936033,0
AA-AA-000-0000,kri0004,X173X,8,0,19413,0,-2.602364879,0
AA-AA-000-0000,kri0004,X038X,6,0,17889,0,-2.526183033,0
AA-AA-000-0000,kri0004,X137X,7,0,16508,0,-2.453493602,0
AA-AA-000-0000,kri0004,X204X,7,0,16304,0,-2.442431658,0
AA-AA-000-0000,kri0004,X159X,8,0,14776,0,-2.35662974,0
AA-AA-000-0000,kri0004,X203X,7,0,14243,0,-2.325375181,0
AA-AA-000-0000,kri0004,X097X,5,0,11997,0,-2.184784837,0
AA-AA-000-0000,kri0004,X017X,3,0,11680,0,-2.16362657,0
AA-AA-000-0000,kri0004,X148X,4,0,11273,0,-2.13591818,0
AA-AA-000-0000,kri0004,X152X,5,0,9879,0,-2.035877778,0
AA-AA-000-0000,kri0004,X073X,3,0,9606,0,-2.015249775,0
AA-AA-000-0000,kri0004,X070X,4,0,9058,0,-1.972687304,0
AA-AA-000-0000,kri0004,X175X,5,0,8775,0,-1.95006282,0
AA-AA-000-0000,kri0004,X161X,2,0,8686,0,-1.942851855,0
AA-AA-000-0000,kri0004,X156X,2,0,8542,0,-1.931084382,0
AA-AA-000-0000,kri0004,X035X,3,0,8311,0,-1.911940679,0
AA-AA-000-0000,kri0004,X065X,3,0,8047,0,-1.889642709,0
AA-AA-000-0000,kri0004,X195X,2,0,7682,0,-1.85803334,0
AA-AA-000-0000,kri0004,X027X,4,0,7611,0,-1.851774208,0
AA-AA-000-0000,kri0004,X064X,3,0,7523,0,-1.843964608,0
AA-AA-000-0000,kri0004,X044X,4,0,7100,0,-1.805590058,0
AA-AA-000-0000,kri0004,X116X,2,0,6695,0,-1.767459336,0
AA-AA-000-0000,kri0004,X023X,2,0,6418,0,-1.740526261,0
AA-AA-000-0000,kri0004,X125X,2,0,5812,0,-1.678908817,0
AA-AA-000-0000,kri0004,X219X,3,0,5706,0,-1.667715964,0
AA-AA-000-0000,kri0004,X186X,2,0,5680,0,-1.664950366,0
AA-AA-000-0000,kri0004,X031X,2,0,5106,0,-1.601722615,0
AA-AA-000-0000,kri0004,X020X,1,0,4509,0,-1.53095728,0
AA-AA-000-0000,kri0004,X218X,1,0,4416,0,-1.519405889,0
AA-AA-000-0000,kri0004,X123X,3,0,4331,0,-1.508711923,0
AA-AA-000-0000,kri0004,X089X,4,0,4304,0,-1.505287085,0
AA-AA-000-0000,kri0004,X076X,2,0,4296,0,-1.504269692,0
AA-AA-000-0000,kri0004,X227X,3,0,4139,0,-1.484054394,0
AA-AA-000-0000,kri0004,X024X,1,0,4121,0,-1.481705716,0
AA-AA-000-0000,kri0004,X225X,1,0,4022,0,-1.468669818,0
AA-AA-000-0000,kri0004,X011X,1,0,3773,0,-1.434953041,0
AA-AA-000-0000,kri0004,X122X,1,0,3708,0,-1.425919541,0
AA-AA-000-0000,kri0004,X181X,3,0,3369,0,-1.377092722,0
