studyid,workflowid,groupid,n,numerator,denominator,metric,score,flag
AA-AA-000-0000,kri0001,X057X,5,31,5317,0.005830355,3.479566132,0
AA-AA-000-0000,kri0001,X211X,1,3,531,0.005649718,0.487708125,0
AA-AA-000-0000,kri0001,X027X,4,33,6667,0.004949753,2.991002927,0
AA-AA-000-0000,kri0001,X100X,6,17,3444,0.004936121,1.765520639,0
AA-AA-000-0000,kri0001,X030X,1,7,1466,0.004774898,0.733144079,0
AA-AA-000-0000,kri0001,X167X,1,3,661,0.004538578,0.189869836,0
AA-AA-000-0000,kri0001,X175X,5,38,8775,0.004330484,2.743014179,0
AA-AA-000-0000,kri0001,X109X,5,35,8273,0.00423063,2.465263851,0
AA-AA-000-0000,kri0001,X093X,7,22,5668,0.00388144,1.34360787,0
AA-AA-000-0000,kri0001,X112X,3,6,1568,0.003826531,0.193180537,0
AA-AA-000-0000,kri0001,X029X,7,33,8724,0.003782669,1.871019539,0
AA-AA-000-0000,kri0001,X059X,12,37,9857,0.003753678,2.046028789,0
AA-AA-000-0000,kri0001,X136X,4,23,6266,0.003670603,1.199958234,0
AA-AA-000-0000,kri0001,X132X,3,7,1913,0.003659174,0.175762991,0
AA-AA-000-0000,kri0001,X124X,4,17,4800,0.003541667,0.730157368,0
AA-AA-000-0000,kri0001,X105X,5,12,3404,0.003525264,0.416083711,0
AA-AA-000-0000,kri0001,X131X,7,57,16204,0.00351765,2.640139011,0
AA-AA-000-0000,kri0001,X085X,12,43,12329,0.003487712,1.985228091,0
AA-AA-000-0000,kri0001,X017X,3,7,2010,0.003482587,0.067621813,0
AA-AA-000-0000,kri0001,X169X,28,120,35312,0.003398278,4.700102434,0
AA-AA-000-0000,kri0001,X016X,5,26,7730,0.003363519,1.022639113,0
AA-AA-000-0000,kri0001,X084X,10,33,9922,0.003325942,1.306559419,0
AA-AA-000-0000,kri0001,X161X,2,15,4725,0.003174603,0.269974925,0
AA-AA-000-0000,kri0001,X210X,4,9,2847,0.003161222,-0.045610241,0
AA-AA-000-0000,kri0001,X040X,22,130,42974,0.003025085,4.047678388,0
AA-AA-000-0000,kri0001,X222X,1,8,2645,0.003024575,-0.203768229,0
AA-AA-000-0000,kri0001,X021X,20,78,25907,0.003010769,2.452697437,0
AA-AA-000-0000,kri0001,X102X,69,134,44631,0.003002397,4.094676575,0
AA-AA-000-0000,kri0001,X223X,2,2,676,0.00295858,-0.466421675,0
AA-AA-000-0000,kri0001,X002X,9,25,8520,0.002934272,0.426888071,0
AA-AA-000-0000,kri0001,X206X,1,2,685,0.002919708,-0.483922902,0
AA-AA-000-0000,kri0001,X150X,3,16,5508,0.002904866,0.025528967,0
AA-AA-000-0000,kri0001,X199X,9,39,13526,0.002883336,0.874782246,0
AA-AA-000-0000,kri0001,X008X,1,9,3125,0.00288,-0.284478367,0
AA-AA-000-0000,kri0001,X028X,2,9,3171,0.002838221,-0.322517658,0
AA-AA-000-0000,kri0001,X172X,7,11,3931,0.00279827,-0.286782617,0
AA-AA-000-0000,kri0001,X037X,8,14,5206,0.002689205,-0.302688514,0
AA-AA-000-0000,kri0001,X231X,15,43,16032,0.002682136,0.634996868,0
AA-AA-000-0000,kri0001,X063X,3,8,3047,0.002625533,-0.554736131,0
AA-AA-000-0000,kri0001,X174X,5,28,10920,0.002564103,-0.04414305,0
AA-AA-000-0000,kri0001,X121X,3,14,5524,0.002534395,-0.495531589,0
AA-AA-000-0000,kri0001,X226X,9,39,15733,0.002478866,0.103287031,0
AA-AA-000-0000,kri0001,X153X,8,13,5246,0.002478079,-0.594030415,0
AA-AA-000-0000,kri0001,X168X,17,65,26593,0.002444252,0.690852483,0
AA-AA-000-0000,kri0001,X115X,2,16,6673,0.002397722,-0.634855382,0
AA-AA-000-0000,kri0001,X196X,5,9,3766,0.002389804,-0.782354308,0
AA-AA-000-0000,kri0001,X130X,33,160,67605,0.002366689,2.504187394,0
AA-AA-000-0000,kri0001,X159X,8,17,7207,0.002358818,-0.671689795,0
AA-AA-000-0000,kri0001,X044X,4,10,4374,0.002286237,-0.894591066,0
AA-AA-000-0000,kri0001,X064X,3,17,7523,0.002259737,-0.829309349,0
AA-AA-000-0000,kri0001,X202X,4,6,2690,0.002230483,-0.974249038,0
AA-AA-000-0000,kri0001,X160X,1,2,911,0.00219539,-0.878491865,0
AA-AA-000-0000,kri0001,X186X,2,12,5545,0.002164112,-1.043779014,0
AA-AA-000-0000,kri0001,X090X,36,151,73539,0.002053332,0.924963759,0
AA-AA-000-0000,kri0001,X218X,1,9,4415,0.002038505,-1.228479939,0
AA-AA-000-0000,kri0001,X083X,20,55,26984,0.002038245,-0.695758224,0
AA-AA-000-0000,kri0001,X235X,9,46,23572,0.001951468,-1.097855853,0
AA-AA-000-0000,kri0001,X194X,3,7,3678,0.001903208,-1.384602285,0
