"studyid","workflowid","param","value","gsm_analysis_date"
"AA-AA-000-0000","qtl0004","LowCI",0.000447882386367793,2022-12-21 10:29:10
"AA-AA-000-0000","qtl0004","UpCI",0.000536445190695052,2022-12-21 10:29:10
"AA-AA-000-0000","qtl0004","Score",0.000447882386367793,2022-12-21 10:29:10
"AA-AA-000-0000","qtl0006","LowCI",0.0784808384071743,2022-12-21 10:29:10
"AA-AA-000-0000","qtl0006","UpCI",0.110929929180543,2022-12-21 10:29:10
"AA-AA-000-0000","qtl0006","Score",0.0784808384071743,2022-12-21 10:29:10
